# RNG values from fpga-serial provider
# Format: timestamp_ms,random_value
1752022808669,0.8124961815
1752022808696,0.4999980925
1752022808721,0.9997539222
1752022808748,0.4999980851
1752022808775,0.9375000000
1752022808801,0.9990234077
1752022808828,0.9997539483
1752022808854,0.2497558592
1752022808881,0.7499942704
1752022808906,0.7495098113
1752022808933,0.9999999851
1752022808959,0.4985351487
1752022808985,0.9999999925
1752022809012,0.8749990388
1752022809038,0.8747558593
1752022809064,0.8749971240
1752022809090,0.8115234375
1752022809115,0.8747558556
1752022809142,0.9980392456
1752022809168,0.8749990388
1752022809194,0.9374999851
1752022809220,0.9370117113
1752022809246,0.9990234226
1752022809272,0.7499990463
1752022809298,0.9995078593
1752022809327,0.9370117150
1752022809353,0.7490196153
1752022809380,0.9990234375
1752022809406,1.0000000000
1752022809435,0.9999980927
1752022809468,0.9999923557
1752022809495,0.7496337741
1752022809521,0.7497558519
1752022809548,0.9990234300
1752022809576,0.7499961741
1752022809604,0.6249980926
1752022809630,0.8749980777
1752022809657,0.9995117187
1752022809684,0.4999923705
1752022809710,0.9999999702
1752022809736,0.7490234300
1752022809762,0.9999999851
1752022809787,0.9990234338
1752022809813,0.9999980927
1752022809840,0.9374923482
1752022809867,0.9365158081
1752022809893,0.9990224615
1752022809919,0.4999961703
1752022809945,0.9996337872
1752022809971,0.9999971390
1752022809996,0.6249999925
1752022810023,0.7499961815
1752022810049,0.8745098114
1752022810075,0.8745078817
1752022810101,0.7497539520
1752022810127,0.9997539520
1752022810153,0.7496337592
1752022810179,0.7497539445
1752022810205,0.8749961853
1752022810231,0.6249961554
1752022810256,0.9990234300
1752022810282,0.9995102882
1752022810308,0.8124980926
1752022810334,0.2490215300
1752022810360,0.9995098077
1752022810386,0.7499980851
1752022810412,0.9985351562
1752022810438,0.9999999981
1752022810468,0.9995078892
1752022810499,0.8740234226
1752022810526,0.8749923594
1752022810554,0.9995107614
1752022810584,0.9995107651
1752022810611,1.0000000000
1752022810640,0.9999923706
1752022810670,0.8745117075
1752022810702,0.9999999851
1752022810729,0.9995040894
1752022810755,0.4985313414
1752022810785,0.9995117113
1752022810815,0.9995117150
1752022810843,0.9990157932
1752022810870,0.9995098114
1752022810902,0.7499923668
1752022810932,0.9995117187
1752022810958,0.9370117076
1752022810984,0.8749961704
1752022811010,0.9995079041
1752022811036,0.9370098077
1752022811062,0.7492675706
1752022811087,0.9355468601
1752022811113,0.9995079041
1752022811139,0.7499999999
1752022811165,0.8749980777
1752022811191,0.4980468749
1752022811216,0.9999999888
1752022811242,0.9997558594
1752022811268,0.9990205541
1752022811294,0.9999990463
1752022811320,0.9374999963
1752022811346,0.9995040819
1752022811371,0.9995117113
1752022811397,0.7480449676
1752022811423,0.9995117076
1752022811449,1.0000000000
1752022811474,0.4995117186
1752022811500,0.8749999962
1752022811527,0.9990158044
1752022811553,0.9999961853
1752022811578,0.8745116889
1752022811604,0.8745117187
1752022811629,0.7480430528
1752022811655,0.4985342025
1752022811680,0.7499999999
1752022811706,0.9685058445
1752022811732,0.9995117187
1752022811758,0.9998760223
1752022811784,0.9995117187
1752022811809,0.8740234375
1752022811835,0.4990215263
1752022811861,1.0000000000
1752022811887,0.7499999999
1752022811912,0.4995116888
1752022811937,0.8740196004
1752022811962,0.7485294341
1752022811987,0.9995107651
1752022812013,0.9367656633
1752022812038,0.9985351562
1752022812064,0.6249999925
1752022812090,0.7490234337
1752022812115,0.7499961852
1752022812141,0.9995117150
1752022812165,1.0000000000
1752022812192,0.7492675632
1752022812217,1.0000000000
1752022812243,1.0000000000
1752022812268,0.9999980628
1752022812294,0.9997558556
1752022812320,0.9999980852
1752022812345,0.9960937500
1752022812371,0.8666291237
1752022812396,0.3691525018
1752022812421,0.4049376974
1752022812446,0.0688503590
1752022812472,0.4261315727
1752022812497,0.8349147783
1752022812522,0.5717806813
1752022812548,0.0780647760
1752022812573,0.0357337501
1752022812599,0.8388450588
1752022812624,0.8178755045
1752022812650,0.4313016833
1752022812676,0.6665262612
1752022812701,0.1620142807
1752022812727,0.3439450938
1752022812752,0.6831089795
1752022812778,0.8603156164
1752022812803,0.0199894956
1752022812829,0.9254432472
1752022812855,0.2596050804
1752022812881,0.8434373089
1752022812907,0.5616766495
1752022812933,0.0149358546
1752022812960,0.6755144269
1752022812987,0.4768377017
1752022813013,0.4395381311
1752022813039,0.5294629393
1752022813064,0.0106496955
1752022813089,0.7043989118
1752022813115,0.2790118769
1752022813140,0.3402470775
1752022813166,0.9813654518
1752022813191,0.4474527427
1752022813216,0.6502895825
1752022813242,0.4776366331
1752022813268,0.7220508504
1752022813294,0.4771306616
1752022813319,0.9847655643
1752022813345,0.6168126836
1752022813371,0.9957782123
1752022813396,0.2351427577
1752022813422,0.9443172158
1752022813448,0.2626791227
1752022813475,0.1894664821
1752022813501,0.6240430038
1752022813529,0.6846890381
1752022813555,0.8827516110
1752022813580,0.9421805742
1752022813606,0.7546653605
1752022813632,0.4692288340
1752022813658,0.3061830751
1752022813685,0.1671368189
1752022813713,0.9039433051
1752022813739,0.1001104380
1752022813767,0.7858109769
1752022813793,0.2860157579
1752022813821,0.3316223254
1752022813847,0.3924063319
1752022813875,0.1117062269
1752022813902,0.0781601807
1752022813932,0.6435758578
1752022813961,0.3468171964
1752022813989,0.2760476282
1752022814018,0.0116430125
1752022814046,0.7076255341
1752022814072,0.5398092779
1752022814099,0.0476884919
1752022814126,0.4635619245
1752022814153,0.1455530441
1752022814181,0.7088935742
1752022814208,0.0659051014
1752022814235,0.2299320186
1752022814261,0.8961504914
1752022814287,0.1027348957
1752022814315,0.1892495661
1752022814341,0.7962857664
1752022814368,0.6799601881
1752022814394,0.0080924351
1752022814421,0.2898201596
1752022814448,0.7847413925
1752022814474,0.2928980939
1752022814500,0.0381791229
1752022814526,0.5055258927
1752022814553,0.9236129487
1752022814579,0.1922349346
1752022814605,0.5980724757
1752022814630,0.8653542362
1752022814657,0.7033620471
1752022814683,0.4211954869
1752022814709,0.4802313520
1752022814735,0.3249230388
1752022814761,0.7184207148
1752022814787,0.0934760228
1752022814812,0.7262364714
1752022814838,0.6746951611
1752022814865,0.2310559166
1752022814892,0.1016976468
1752022814918,0.3224508982
1752022814944,0.3654706982
1752022814970,0.5188337424
1752022814996,0.4222309213
1752022815022,0.3854457825
1752022815048,0.4758201545
1752022815076,0.3987100358
1752022815106,0.6245106672
1752022815131,0.7634380117
1752022815157,0.0382766831
1752022815183,0.2917896466
1752022815209,0.0770509395
1752022815235,0.8950617462
1752022815261,0.5976578914
1752022815287,0.0603708299
1752022815312,0.9980077371
1752022815339,0.6167287919
1752022815365,0.4049723443
1752022815391,0.0684497566
1752022815417,0.8598164625
1752022815442,0.2514281104
1752022815468,0.1777383492
1752022815494,0.2572741481
1752022815519,0.3887843272
1752022815545,0.1778652661
1752022815571,0.6116899114
1752022815597,0.1728586199
1752022815624,0.3171507126
1752022815652,0.7695629389
1752022815687,0.2774865735
1752022815718,0.3280071924
1752022815744,0.1344793644
1752022815772,0.5787593193
1752022815798,0.4189268971
1752022815826,0.0146134440
1752022815853,0.9720131657
1752022815883,0.3909377433
1752022815911,0.1977341159
1752022815944,0.1027096557
1752022815974,0.5137456398
1752022816002,0.4866800430
1752022816029,0.4872602808
1752022816055,0.7791362684
1752022816082,0.9637335557
1752022816109,0.7780470582
1752022816135,0.9151776782
1752022816163,0.0528920335
1752022816193,0.4388407295
1752022816221,0.9633862532
1752022816262,0.9434994992
1752022816291,0.6517718196
1752022816320,0.5464742183
1752022816347,0.3516156183
1752022816373,0.0903604266
1752022816401,0.7716331647
1752022816427,0.0301231628
1752022816453,0.2136267787
1752022816479,0.0769749952
1752022816507,0.7716109990
1752022816532,0.2597417450
1752022816558,0.5568243232
1752022816585,0.5505140490
1752022816611,0.6374409231
1752022816637,0.7973204143
1752022816663,0.2026990592
1752022816689,0.7034217286
1752022816716,0.8979965108
1752022816743,0.0836255716
1752022816768,0.4444503664
1752022816794,0.2719286432
1752022816821,0.9874319227
1752022816848,0.6895359160
1752022816875,0.1041541989
1752022816902,0.4988113312
1752022816928,0.8855443641
1752022816954,0.6791080657
1752022816980,0.1825423865
1752022817008,0.5377678176
1752022817034,0.0296937055
1752022817061,0.2040996787
1752022817089,0.9609385410
1752022817116,0.4494582679
1752022817143,0.3713560173
1752022817171,0.5239149359
1752022817196,0.1537436287
1752022817222,0.4217660610
1752022817249,0.6969841043
1752022817277,0.1038841079
1752022817306,0.1509973430
1752022817335,0.5506811728
1752022817362,0.6867286739
1752022817390,0.7774627231
1752022817418,0.4209393881
1752022817446,0.3366675839
1752022817473,0.5542984548
1752022817500,0.4321251336
1752022817526,0.4293744425
1752022817554,0.5413377754
1752022817580,0.5325532070
1752022817606,0.1928208196
1752022817632,0.6791185617
1752022817659,0.9280832405
1752022817685,0.9997541339
1752022817711,0.5394295758
1752022817737,0.5457467622
1752022817762,0.7473964162
1752022817788,0.5325424917
1752022817814,0.5516455876
1752022817840,0.4373104571
1752022817867,0.6685841418
1752022817893,0.8564853135
1752022817921,0.2753512667
1752022817947,0.1534479149
1752022817974,0.6006974249
1752022818002,0.3921180559
1752022818029,0.1661970057
1752022818057,0.6481468579
1752022818084,0.7070597661
1752022818112,0.4596562277
1752022818140,0.1654736251
1752022818167,0.6753528513
1752022818194,0.2033901290
1752022818221,0.5050540186
1752022818248,0.7351215674
1752022818276,0.2859646138
1752022818302,0.7964761036
1752022818330,0.3814369194
1752022818356,0.5688656542
1752022818383,0.5959429903
1752022818410,0.8275445469
1752022818437,0.2976367491
1752022818465,0.9460779012
1752022818492,0.4450332235
1752022818519,0.9599761567
1752022818546,0.3852580957
1752022818572,0.9622231980
1752022818600,0.5426289764
1752022818628,0.8631318572
1752022818655,0.1468004492
1752022818682,0.8903626646
1752022818709,0.4563885372
1752022818736,0.8928199550
1752022818764,0.9334489903
1752022818791,0.5053478916
1752022818819,0.2854856221
1752022818846,0.0699094108
1752022818873,0.9543133201
1752022818901,0.0380812951
1752022818928,0.9749225248
1752022818956,0.7447030718
1752022818982,0.3009796662
1752022819009,0.0825742115
1752022819038,0.4385075905
1752022819066,0.0450391052
1752022819092,0.2799924277
1752022819119,0.1555033666
1752022819147,0.7894122290
